"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"1042",44,"Senorita","Shawn Mendes  Camila Cabello",2020,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,117,"4Tj1mm2paJNSm2cFPPfhLJ",190960,"FALSE","4","canadian pop","pop","post-teen pop","viral pop","canadian pop"
"1043",45,"HIGHEST IN THE ROOM","Travis Scott",2020,0.598,0.427,7,-8.764,0,0.0317,0.0546,0,0.21,0.0605,76,"3eekarcy7kvN4yt5ZFzltW",175721,"TRUE","86","rap","slap house","rap","slap house","rap"
"1044",46,"Bad Guy","Billie Eilish",2020,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135,"2Fxmhks0bxGSBdJ92vM42m",194088,"FALSE","87","electropop","pop","electropop","pop","electropop"
"1045",47,"Mood","24kGoldn iann dior",2020,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,91,"3tjFYV6RSFtuktYl3ZtYcq",140526,"TRUE","95","cali rap","cali rap","cali rap","cali rap","cali rap"
"1046",48,"Rain On Me","Lady Gaga  Ariana Grande",2020,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123,"24ySl2hOPGCDcxBxFIqWBu",182200,"FALSE","82","dance pop","pop","pop dance","dance pop","pop"
"1047",49,"For The Night","Pop Smoke Lil Baby  DaBaby",2020,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,126,"0PvFJmanyNQMseIFrU708S",190476,"TRUE","89","brooklyn drill","brooklyn drill","brooklyn drill","brooklyn drill","brooklyn drill"
"1048",50,"RITMO (Bad Boys For Life)","Black Eyed Peas",2020,0.721,0.716,10,-7.037,0,0.0657,0.0334,8e-04,0.237,0.667,105,"6cy3ki60hLwimwIje7tALf",221714,"TRUE","80","dance pop","pop","pop dance","pop rap","dance pop"
"1049",51,"Heart On Ice","Rod Wave",2020,0.733,0.389,10,-8.468,0,0.0738,0.0513,0,0.141,0.244,158,"6fWa5CRgy0z30OeGZyMBvD",159670,"TRUE","75","florida rap","florida rap","florida rap","florida rap","florida rap"
"1050",52,"Nobody But You","Blake Shelton Duet With Gwen Stefani",2020,0.463,0.653,0,-5.515,1,0.0273,0.111,1e-04,0.172,0.233,144,"5M8goiFYynmNxhueYW6grR",194867,"FALSE","71","contemporary country","country","country road","oklahoma country","contemporary country"
"1051",53,"Trampoline","SHAED",2020,0.689,0.412,7,-7.523,0,0.0301,0.488,2e-04,0.0659,0.537,127,"0lsRatBUs9HNIZAmoGABzk",184060,"FALSE","69","electropop","pop","electropop","pop","electropop"
"1052",54,"Come & Go","Juice WRLD Marshmello",2020,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,145,"2Y0wPrPQBrGhoLn14xRYCG",205485,"TRUE","85","chicago rap","melodic rap","chicago rap","melodic rap","chicago rap"
"1053",55,"Truth Hurts","Lizzo",2020,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158,"3HWzoMvoF3TQfYg4UPszDq",173325,"TRUE","78","dance pop","escape room","minnesota hip hop","pop","pop dance"
"1054",56,"If The World Was Ending","JP Saxe Julia Michaels",2020,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,76,"2kJwzbxV2ppxnQoYw4GLBZ",208687,"FALSE","85","canadian contemporary r&b","indie cafe pop","pop","canadian contemporary r&b","indie cafe pop"
"1055",57,"We Paid","Lil Baby  42 Dugg",2020,0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135,"6gxKUmycQX7uyMwJcweFjp",181929,"TRUE","80","atl hip hop","atl trap","rap","trap","atl hip hop"
"1056",58,"Yummy","Justin Bieber",2020,0.687,0.514,9,-6.612,0,0.0897,0.366,0,0.116,0.494,146,"41L3O37CECZt3N7ziG2z7l",210427,"FALSE","76","canadian pop","pop","post-teen pop","canadian pop","pop"
"1057",59,"One Man Band","Old Dominion",2020,0.706,0.358,6,-8.331,1,0.0347,0.677,0,0.107,0.478,76,"7cA3PnUQDlUyBBwpRozQeo",186240,"FALSE","75","contemporary country","country","country road","contemporary country","country"
"1058",60,"Got What I Got","Jason Aldean",2020,0.512,0.58,3,-6.658,0,0.029,0.621,0,0.513,0.303,160,"4TCc369aRPRubv1m8R1TBG",178147,"FALSE","74","contemporary country","country","country road","contemporary country","country"
"1059",61,"Sunday Best","Surfaces",2020,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112,"1Cv1YLb4q0RzL6pybtaMLo",158571,"FALSE","82","bedroom soul","pop","bedroom soul","pop","bedroom soul"
"1060",62,"Godzilla","Eminem Juice WRLD",2020,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,166,"7FIWs0pqAYbP91WWM0vlTQ",210800,"TRUE","85","detroit hip hop","hip hop","rap","detroit hip hop","hip hop"
"1061",63,"Bandit","Juice WRLD  YoungBoy Never Broke Again",2020,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180,"6Gg1gjgKi2AK4e0qzsR7sd",189323,"TRUE","82","chicago rap","melodic rap","chicago rap","melodic rap","chicago rap"
"1062",64,"Party Girl","StaySolidRocky",2020,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130,"5RqR4ZCCKJDcBLIn4sih9l",147800,"FALSE","80","melodic rap","melodic rap","melodic rap","melodic rap","melodic rap"
"1063",65,"Die From A Broken Heart","Maddie  Tae",2020,0.596,0.522,9,-6.633,1,0.0358,0.373,0,0.291,0.443,76,"3DA4SE262k6rdEtlHteNyq",188320,"FALSE","70","contemporary country","country","country pop","contemporary country","country"
